251.240859117,66.065278105,16.452385170,0.000000000,10.000000000,55.000000000,16.000000000,0.064830780,23.800347553
251.146020318,-31.891564221,16.452385170,1.000000000,10.000000000,55.000000000,26.000000000,0.690438747,23.888932845
153.527021016,-31.795669976,16.452385170,2.000000000,10.000000000,55.000000000,36.000000000,0.855020046,23.888932845
153.621962426,66.157886992,16.452385170,3.000000000,10.000000000,55.000000000,47.000000000,0.445625782,23.888932845
251.241234559,66.065509581,16.452385170,4.000000000,10.000000000,55.000000000,57.000000000,0.462198734,23.711799367
251.145988809,-31.891580853,16.452385170,5.000000000,10.000000000,56.000000000,8.000000000,0.049804211,23.711799367
153.526790227,-31.795605583,16.452385170,6.000000000,10.000000000,56.000000000,18.000000000,0.285389900,23.711799367
153.621962273,66.157882186,16.452385170,7.000000000,10.000000000,56.000000000,28.000000000,0.945999622,23.711799367
251.241182832,66.065299848,16.452385170,8.000000000,10.000000000,56.000000000,39.000000000,0.393597126,23.711799367
251.145989724,-31.891578641,16.452385170,9.000000000,10.000000000,56.000000000,49.000000000,0.982202530,23.623287584
153.526876287,-31.795396462,16.452385170,10.000000000,10.000000000,56.000000000,59.000000000,0.930771828,23.534811503
153.621948541,66.157875777,16.452385170,11.000000000,10.000000000,57.000000000,10.000000000,0.519377232,23.446370422
251.241119126,66.065020842,16.452385170,12.000000000,10.000000000,57.000000000,20.000000000,0.533950329,23.446370422
251.145992929,-31.891569485,16.452385170,13.000000000,10.000000000,57.000000000,31.000000000,0.124556065,23.534811503
153.526932515,-31.795397072,16.452385170,14.000000000,10.000000000,57.000000000,41.000000000,0.073124886,23.446370422
153.621941064,66.157884627,16.452385170,15.000000000,10.000000000,57.000000000,51.000000000,0.661730289,23.446370422
251.240921296,66.065260939,16.452385170,16.000000000,10.000000000,58.000000000,2.000000000,0.247335911,23.357963641
251.146000482,-31.891605878,16.452385170,17.000000000,10.000000000,58.000000000,12.000000000,0.837941647,23.181250186
153.526873235,-31.795618325,16.452385170,18.000000000,10.000000000,58.000000000,23.000000000,0.074527264,23.269590462
153.621940911,66.157867003,16.452385170,19.000000000,10.000000000,58.000000000,33.000000000,0.664133072,23.446370422
